State,County,Site_Name,Water_Body,Latitude,Longitude,Boat,Fish,Swim,Trail,Restroom,Parking,Comments,Ownership
West Virginia,Morgan,Great Cacapon,Cacapon River,39.61860000000,-78.28230000000,Yes,No,No,No,No,Yes,,NA
West Virginia,Hampshire,Cacapon Crossing,Cacapon River,39.45200000000,-78.42480000000,Yes,No,No,No,No,Yes,,NA
West Virginia,Jefferson,Bloomery,Shenandoah River,39.25360000000,-77.81530000000,Yes,No,No,No,No,Yes,,NA
West Virginia,Hampshire,C-17,Cacapon River,39.40320000000,-78.41740000000,Yes,No,No,No,No,Yes,,NA
West Virginia,Grant,River Road,South Branch Potomac River,38.99330000000,-79.17460000000,Yes,No,No,No,No,Yes,,"Private, No permission Required"
West Virginia,Grant,Welton Park,South Branch Potomac River,39.00000000000,-79.08640000000,Yes,No,No,No,Yes,Yes,,Welton Park Ath.
West Virginia,Grant,Welton Park Ramp 2,South Branch Potomac River,39.00110000000,-79.08440000000,Yes,No,No,No,Yes,Yes,,Welton Park Ath.
West Virginia,Hardy,Fisher Bridge South,South Branch Potomac River,39.01950000000,-79.00550000000,Yes,No,No,No,No,Yes,,NA
West Virginia,Hardy,Fisher Bridge,South Branch Potomac River,39.05330000000,-78.99110000000,Yes,No,No,No,No,Yes,,WVDNR
West Virginia,Hardy,Old Fields Bridge,South Branch Potomac River,39.10360000000,-78.95880000000,Yes,No,No,No,No,Yes,,"WVDNR, WVDOH"
West Virginia,Hardy,South Branch WMA Access,South Branch Potomac River,39.14590000000,-78.92480000000,Yes,No,No,No,No,Yes,,WVDNR
West Virginia,Hampshire,Harmissions,South Branch Potomac River,39.22780000000,-78.85240000000,Yes,No,No,No,Yes,Yes,,WVDNR
West Virginia,Hampshire,Stoney Run,South Branch Potomac River,39.24650000000,-78.84260000000,Yes,No,No,No,No,Yes,,WVDNR
West Virginia,Hampshire,Romney Bridge,South Branch Potomac River,39.33940000000,-78.77650000000,Yes,No,No,No,Yes,Yes,,"WVDOH, WVDNR"
West Virginia,Hampshire,Hanging Rock,South Branch Potomac River,39.39970000000,-78.74290000000,Yes,No,No,No,No,No,,WVDNR
West Virginia,Hampshire,Blue Beach Bridge,South Branch Potomac River,39.42790000000,-78.71460000000,Yes,No,No,No,No,No,,WVDOH
West Virginia,Hampshire,Millesonne Mills,South Branch Potomac River,39.44290000000,-78.66810000000,Yes,No,No,No,No,No,,WVDOH
West Virginia,Hampshire,Millesonne Mills Bridge,South Branch Potomac River,39.44800000000,-78.65340000000,Yes,No,No,No,No,Yes,,"WVDNR, WVDOH"
West Virginia,Hampshire,Blue Ford South,South Branch Potomac River,39.49150000000,-78.60820000000,Yes,No,No,No,No,Yes,,WVDNR
West Virginia,Hampshire,CR 1-1,South Branch Potomac River,39.51030000000,-78.60020000000,Yes,No,No,No,No,Yes,,WVDNR
West Virginia,Morgan,Paw Paw,Potomac River,39.53800000000,-78.45490000000,Yes,No,No,No,No,Yes,,WVDNR
West Virginia,Morgan,Largent Bridge,Cacapon River,39.48080000000,-78.38500000000,Yes,No,No,No,No,No,,WVDOH
West Virginia,Morgan,St Rt 9 Bridge,Cacapon River,39.52820000000,-78.34860000000,Yes,No,No,No,No,No,,WVDOH
West Virginia,Morgan,Cacapon Power Plant,Cacapon River,39.60690000000,-78.29100000000,Yes,No,No,No,No,No,,WVDOH
West Virginia,Morgan,CR 7 Bridge,Cacapon River,39.58170000000,-78.30880000000,Yes,No,No,No,No,No,,WVDOH
West Virginia,Morgan,Great Cacapon,Cacapon River,39.61850000000,-78.28240000000,Yes,No,No,No,No,Yes,,WVDNR-WRS
West Virginia,Morgan,Cherry Run,Potomac River,39.62880000000,-78.03140000000,Yes,No,No,No,No,Yes,,WVDNR-WRS
West Virginia,Jefferson,Dam #4,Potomac River,39.49290000000,-77.82490000000,Yes,No,No,No,No,Yes,,WVDNR
West Virginia,Jefferson,Shaperds Town,Potomac River,39.43430000000,-77.80180000000,Yes,No,No,No,No,Yes,,"WVDNR, City of Sheperdstown"
West Virginia,Jefferson,Dam #3,Potomac River,39.33270000000,-77.75040000000,Yes,No,No,No,No,Yes,,US Park Service
West Virginia,Jefferson,Harppers Ferry Park,Shenandoah River,39.32060000000,-77.74240000000,Yes,No,No,No,No,Yes,,US Park Service
West Virginia,Jefferson,"Millville (Below Dam),Potomac Ediso",Shenandoah River,39.27500000000,-77.78670000000,Yes,No,No,No,No,Yes,,"WVDNR, Allegheny Energy Inc."
West Virginia,Jefferson,Millville (Dam),Shenandoah River,39.26850000000,-77.78370000000,Yes,No,No,No,No,Yes,,Allegheny Energy Inc.
West Virginia,Jefferson,"Millville (Above Dam),Potomac Ediso",Shenandoah River,39.26350000000,-77.79110000000,Yes,No,No,No,No,Yes,,Allegheny Energy Inc.
West Virginia,Jefferson,Moulton Park,Shenandoah River,39.25840000000,-77.80740000000,Yes,No,No,No,No,Yes,,NA
West Virginia,Jefferson,Millville,Shenandoah River,39.25800000000,-77.78270000000,Yes,No,No,No,No,Yes,,WVDNR-WRS
West Virginia,Jefferson,Shannondale Springs WMA Access,Shenandoah River,39.22470000000,-77.82020000000,Yes,No,No,No,No,Yes,,WVDNR-WRS
West Virginia,Grant,Petersburg,South Branch Potomac River,38.98840000000,-79.12120000000,Yes,No,No,No,No,Yes,,NA
West Virginia,Hampshire,Fort Mill Ridge WMA,South Branch Potomac River,39.33060000000,-78.78490000000,Yes,No,No,No,No,Yes,,WVDNR
West Virginia,Mineral,Wiley Ford,North Fork Potomac River,39.61050000000,-78.75690000000,Yes,No,No,No,No,Yes,,"WVDNR, WVDOH"
West Virginia,Hampshire,Blue Ford North,South Branch Potomac River,39.49290000000,-78.60960000000,Yes,No,No,No,No,Yes,,WVDNR
West Virginia,Hampshire,Indian Rocks,South Branch Potomac River,39.51030000000,-78.60010000000,Yes,No,No,No,No,Yes,,WVDNR
West Virginia,Hampshire,Mouth of South Branch,South Branch Potomac River,39.52490000000,-78.59080000000,Yes,No,No,No,No,No,,WVDOH
West Virginia,Jefferson,Meyerstown,Shenandoah River,39.20550000000,-77.84780000000,Yes,No,No,No,No,No,,WVDOH
Virginia,King George,Lands End Wildlife Mngmt Area,,38.16310000000,-77.11290000000,No,No,No,No,Yes,Unknown,,
Virginia,Chesterfield County,Dutch Gap Conservation Area,,37.37270000000,-77.36200000000,No,Yes,No,Yes,No,Medium,,
